,date,username,text,retweets numbers
0,2016-01-31 08:40:51,GfromHull,"@drscottrice @triGazL @Jeremy_Hunt @David_Cameron Both of my children have had meningitis , only one had a rash.",0
1,2016-01-31 08:30:43,EINMesothelioma,Sunderland baby fought back from deadly meningitis infection http:// s.einnews.com/8O0WbSMiwA,0
2,2016-01-31 08:27:50,candycane03048,@one_mrs_k @NursesRoar @drhamedkhan @nellesapelle my brother nearly died when he was 2yrs he had meningitis it was catch early so he ok,0
3,2016-01-31 08:27:13,somdave2005,"@mr_jasonjones first viral meningitis , now gastroenteritis. Kings need an infectious disease consult !",0
4,2016-01-31 08:26:13,BeaumontBee,Dangerous indeed - what about the meningitis rash...? https:// twitter.com/drhamedkhan/st atus/693418336424759296 …,2
5,2016-01-31 08:25:17,Mikecorrie6,"#rashdecision @Jeremy_Hunt Google a rash, when that goes wrong i.e meningitis diagnosed as eczema will you be happy to be held responsible",0
6,2016-01-31 08:22:11,UGCompScience,Bacterial Meningitis : What you need to know - citifmonline http:// fb.me/2vFgrLqrf,0
7,2016-01-31 08:21:46,packt_sardines,Here's a photo of me looking super amused whilst being treated for meningitis /pneunomia in hospital. pic.twitter.com/QeXHcdLE3A,0
8,2016-01-31 08:17:35,Munki_Zack,@djblack you're sacking Pneumococcal Meningitis with #openhouseparty,4
9,2016-01-31 08:12:20,ayArdito,@agosabatista HOY ES EL CUMPLE DE PIRUCHA! La de Pato con meningitis y la curandera .,0
10,2016-01-31 08:07:48,Anastasia_Champ,"16 y/o Austin Fritz died Thursday from suspected meningitis - and tonight, his best friend Ruben talks about him. pic.twitter.com/4CPDhybnfU",3
11,2016-01-31 07:57:18,babyactxo,@Vickatronic Meningitis Research Foundation,0
12,2016-01-31 07:53:18,KSNBLocal4,@AnastasiaNBCNEB speaks with classmates of sophomore who died of suspected bacterial meningitis . Her story at 6 pic.twitter.com/x7iADfpUwP,1
13,2016-01-31 07:53:18,JackieKentNews,@AnastasiaNBCNEB speaks with classmates of sophomore who died of suspected bacterial meningitis . Her story at 6 pic.twitter.com/hM96S1efQe,0
14,2016-01-31 07:49:34,GeekProvodnik,RT drscottrice: Spot the killer Jeremy_Hunt David_Cameron Totally irresponsible to suggest parents #google diagnosis #Meningitis …,0
15,2016-01-31 07:37:09,drboycewatkins1,Yale University student hospitalized with possible meningitis http:// themedicalblog.net/2015/02/07/yal e-university-student-hospitalized-with-possible-meningitis/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost … pic.twitter.com/hJofFv3XZA,0
16,2016-01-31 07:35:37,GeekProvodnik,RT drscottrice: Spot the killer Jeremy_Hunt David_Cameron Totally irresponsible to suggest parents #google diagnosis #Meningitis …,0
17,2016-01-31 07:33:13,NTVNEWS,ICYMI: @NTVsMeganJ has more on what you need to know about suspected meningitis death in central Nebraska: http://www. nebraska.tv/story/31093357 /central-district-health-dept-announces-suspected-meningitis-case …,1
18,2016-01-31 07:30:50,theprairiedoc,What are your thoughts on schools requiring the meningitis vaccination? @ksfynews http:// ow.ly/XEJVL,0
19,2016-01-31 07:25:49,drscottrice,Spot the killer @Jeremy_Hunt @David_Cameron Totally irresponsible to suggest parents #google diagnosis #Meningitis pic.twitter.com/dRm4f6m0AV,18
20,2016-01-31 07:17:10,netbuzzafrica,Accra records different strain of #Meningitis http:// goo.gl/fb/Bul85k,0
21,2016-01-31 06:57:04,solazed,Meningitis now an epidemic – Prof. Binka - http:// goo.gl/alerts/4Gb73 #GoogleAlerts,0
22,2016-01-31 06:56:08,DoloresCharle10,Original expressed desire up against longevous meningitis paper: lupSkXiA,0
23,2016-01-31 06:52:03,christogawie,"Virale meningitis kring uit in Mosselbaai, 34 al siek #Mosselbaai #Die voorkoms van virale meningitis in... http:// fb.me/7Y0R83CqA",0
24,2016-01-31 06:46:29,jukeneigo,"As a matter of fact, two years ago, I had to face this problem when my mother collapsed from meningitis ./実は、2年程前、私の母が髄膜炎のためにたおれ、この問題と直面しました。",0
25,2016-01-31 06:44:48,ThomasHibble,@Gally_7 my best mate little girl passed away few weeks back she was aged 7 months she lost her battle with meningitis my aim is to,0
26,2016-01-31 06:30:41,dktakyi,This pneumococcal meningitis in Ghana shd be taken with all the seriousness it deserves. More edu and attention needed!,0
27,2016-01-31 06:27:55,London_Cable,Half marathon places for Meningitis Now runners http:// newinly.com/32ngnd0ki,0
28,2016-01-31 06:25:10,happynsadnfunny,Sunderland baby fought back from deadly meningitis infection http:// fb.me/2BjTAjBZZ,0
29,2016-01-31 06:23:15,kobbyblay,Why Vaccines are not the best option now to stop the #meningitis outbreak http:// ln.is/ghanahealthnes t.com/WDx5a …,1
30,2016-01-31 06:22:02,happynsadnfunny,Sunderland baby fought back from deadly meningitis infection http:// fb.me/7HzyZUu2C,0
31,2016-01-31 06:19:47,HealthNestGH,Meningitis Outbreak: Vaccines not the best option now – Dr. Victor Bampoe: The Ministry of… http:// goo.gl/fb/QXlscI,0
32,2016-01-31 06:18:40,BaddieNay,The frequent headaches ive been getting lately are starting to scare me Last time i googled this i had meningitis .,0
33,2016-01-31 06:17:04,anniecross1,"@jonnyhusband1 Parents are supposed to distinguish between e.g. chicken pox, meningitis , measles from the internet? The man's a menace.",0
34,2016-01-31 06:14:39,vvnightingale,"Still have two £3.00 Advertising slots left for Feb in aid of The Meningitis Research Foundation, let me know if you'd like one!",0
35,2016-01-31 06:11:48,jay_hp,@forcesofhope If rash turns out to be meningitis & child dies will #HuntOUT be charged with manslaughter? If not he should be,1
36,2016-01-31 05:54:45,happynsadnfunny,After-effects of meningitis | What you need to know http:// fb.me/3AU785Sgf,0
37,2016-01-31 05:53:13,KwakuBorga,Bacterial Meningitis : What you need to know https:// shar.es/1hUrhO via @citifmonline,0
38,2016-01-31 05:48:50,corzntpnsohh,Life-saving Scottish Government grant hailed by meningitis charity http:// ift.tt/1AkKweU,0
39,2016-01-31 05:44:42,KazveenAamer,I just helped make a difference by supporting Meningitis Research Fou... https:// warwickthreepeaks.everydayhero.com/uk/hajra-s-fun draising-1 …,0
40,2016-01-31 05:32:24,ChiroGreenville,"Daily Quik News & Tips #YeahThatGreenville Low Back Pain, Epidural Steroid Injections and Meningitis http:// tinyurl.com/gqdmw7y",0
41,2016-01-31 05:31:15,Aye_Asem_OOO,"If you do #Propaganda with the #Ghana Health #Sector , #Meningitis will #expose you. @JDMahama #Ghana #Meningitis @samgeorgegh",0
42,2016-01-31 05:23:41,DirkDresden,"If an outbreak occurs in a small population, e.g. meningitis on a college campus, can you determine patient ze... http:// bit.ly/1m5pECa",0
43,2016-01-31 05:23:31,daughterdemeter,ok so anu fell asleep and i sent all my transcripts and my meningitis shit,0
44,2016-01-31 05:17:13,chukwumereij,".com | 32 dead, 100 infected in Ghana meningitis outbreak http:// bit.ly/1m5cBR7",0
45,2016-01-31 05:14:06,KBDanquah,"Earlier today with my sisters, before my ' meningitis ' scare pic.twitter.com/nLVitPxzE1",0
46,2016-01-31 05:14:02,GSCaptain,READER LETTER: charity run - Get your skates on: Runners wishing to be part of Meningitis Now’s team at this y... http:// bit.ly/1m5otCO,0
47,2016-01-31 05:14:01,GainsStandard,READER LETTER: charity run - Get your skates on: Runners wishing to be part of Meningitis Now’s team at this y... http:// bit.ly/1m5otCO,0
48,2016-01-31 05:12:35,laviecockatoo,Struggling the last two years after meningitis . Need to break the mental block caused by the nerve damage. Need to be inspired,0
49,2016-01-31 05:07:36,Croachcatcher,Meningitis progress quickly!!! https:// twitter.com/drhamedkhan/st atus/693418336424759296 …,0
50,2016-01-31 05:02:34,MeningitisNow,Our meningitis counselling service is available free throughout the UK> http:// ow.ly/Ub4eI #meningitis #support,4
51,2016-01-31 04:50:48,apotekpeninggi,"Radang selaput otak ( meningitis ) dapat menyebabkan serangan epilepsi (sawan,ayan,dll)",0
52,2016-01-31 04:50:47,btinjah,Turut berdukacita untuk tmn gue anak kostum yg MGKN mninggal krn sakit meningitis :(,0
53,2016-01-31 04:43:51,JAFearon,The way authorities are approaching this meningitis is worrying. 50 people are already dead yet it's business as usual.,0
54,2016-01-31 04:40:13,EastMidlandNews,charity run Get your skates on. Runners wishing to be part of Meningitis Nows team at this years... http:// eastmidlandsnews.org.uk/t/317619,0
55,2016-01-31 04:39:23,EdnaLillian1,Once for all her fix swinge la errand being meningitis : iDRTcyNY,0
56,2016-01-31 04:39:20,ThomasHibble,@matthewbriggs17 my best mate little girl passed away few weeks back she was aged 7 months she lost her battle with meningitis my aim is to,0
57,2016-01-31 04:38:18,lapampadxd,La Pampa Día x Día: Gral.Pico | Una beba de 10 meses con cuadro de meningitis http:// fb.me/4s14u0AJ2,0
58,2016-01-31 04:29:06,GLanzS,Aida. 50 niños africanos quedan paralizados después de recibir vacuna contra la Meningitis financiada por Bill Gates http:// actualidadvenezuela.org/2016/01/30/aid a-50-ninos-africanos-quedan-paralizados-despues-de-recibir-vacuna-contra-la-meningitis-financiada-por-bill-gates/ …,0
59,2016-01-31 04:25:44,InfoLCU,NoticiasVenezue: Aida. 50 niños africanos quedan paralizados después de recibir vacuna contra la Meningitis financ… http:// actualidadvenezuela.org/2016/01/30/aid a-50-ninos-africanos-quedan-paralizados-despues-de-recibir-vacuna-contra-la-meningitis-financiada-por-bill-gates/ …,0
60,2016-01-31 04:24:55,Liamssmiles05,#oneinamillion #onemancanchangetheworld #VMLM #2016 #marathon #myjourney #mylife #meningitis #believe https:// flipagram.com/f/jbYKFd8WBs,1
61,2016-01-31 04:23:53,ActualidadVenez,Aida. 50 niños africanos quedan paralizados después de recibir vacuna contra la Meningitis … http:// goo.gl/fb/gIKjpN,0
62,2016-01-31 04:20:16,NoticiasVenezue,Aida. 50 niños africanos quedan paralizados después de recibir vacuna contra la Meningitis financiada por Bill Gates http:// actualidadvenezuela.org/2016/01/30/aid a-50-ninos-africanos-quedan-paralizados-despues-de-recibir-vacuna-contra-la-meningitis-financiada-por-bill-gates/ …,7
63,2016-01-31 04:19:20,DispatchDaily,READER LETTER: charity run - Get your skates on: Runners wishing to be part of Meningitis Now’s team at this y... http:// bit.ly/1Q1H8HG,0
64,2016-01-31 04:15:05,yeast_papers,"Pubmed: Cryptoccocal meningitis in Yaoundé (Cameroon) HIV infected patients: Diagnosis, frequency and Cryptococcus… http:// dlvr.it/KMNFqW",0
65,2016-01-31 04:08:45,ImpactoCastex,Una beba de 10 meses con cuadro de meningitis en Pico http:// fb.me/2UB64DJx7,0
66,2016-01-31 04:01:38,Amesstarrrr,Parents on alert after two youngsters in Billericay taken ill with meningitis http:// fb.me/114tDE0sP,0
67,2016-01-31 04:00:27,Citi973,Bacterial Meningitis : What you need to know |More here: http:// goo.gl/2SYyOZ #CitiNews pic.twitter.com/flvGylnUOz,14
68,2016-01-31 03:44:55,Sefordzi,#CMSinGh Sitting by d TV all day but hvnt heard any news or education on d prevention of cerebrospinal meningitis . What r our priorities?,0
69,2016-01-31 03:38:40,vinyIroger,i think i'm getting a meningitis vaccination next week no thanks,0
70,2016-01-31 03:37:30,Sefordzi,#CMSinGh Cerebrospinal meningitis in Ghana n it's fast spreading around the country.,0
71,2016-01-31 03:34:13,KKristenLeigh,"@katierust16 I googled it. Either in having a stroke, beginning of a heart attack, or meningitis",0
