集計年,都道府県コード,都道府県名,総人口（人）,年少人口（人）,生産年齢人口（人）,老年人口（人）,年少人口割合,生産年齢人口割合,老年人口割合
1960,01,北海道,5039206,1681479,3145664,212063,0.33,0.62,0.04
1960,02,青森県,1426606,513397,848838,64371,0.36,0.6,0.05
1960,03,岩手県,1448517,501782,870492,76243,0.35,0.6,0.05
1960,04,宮城県,1743195,584497,1063732,94966,0.34,0.61,0.05
1960,05,秋田県,1335580,457929,816077,61574,0.34,0.61,0.05
1960,06,山形県,1320664,422576,821599,76489,0.32,0.62,0.06
1960,07,福島県,2051137,720721,1208990,121426,0.35,0.59,0.06
1960,08,茨城県,2047024,672204,1240591,134229,0.33,0.61,0.07
1960,09,栃木県,1513624,510097,909207,94320,0.34,0.6,0.06
1960,10,群馬県,1578476,500151,981555,96770,0.32,0.62,0.06
1960,11,埼玉県,2430871,752024,1545841,133006,0.31,0.64,0.05
1960,12,千葉県,2306010,700195,1458717,147098,0.3,0.63,0.06
1960,13,東京都,9683802,2249052,7067087,367663,0.23,0.73,0.04
1960,14,神奈川県,3443176,940719,2351581,150876,0.27,0.68,0.04
1960,15,新潟県,2442037,798808,1490414,152815,0.33,0.61,0.06
1960,16,富山県,1032614,307923,662018,62673,0.3,0.64,0.06
1960,17,石川県,973418,294067,613802,65549,0.3,0.63,0.07
1960,18,福井県,752696,230950,467299,54447,0.31,0.62,0.07
1960,19,山梨県,782062,246727,481033,54302,0.32,0.62,0.07
1960,20,長野県,1981433,571749,1267103,142581,0.29,0.64,0.07
1960,21,岐阜県,1638399,488014,1041553,108832,0.3,0.64,0.07
1960,22,静岡県,2756271,851953,1741510,162808,0.31,0.63,0.06
1960,23,愛知県,4206313,1146564,2840677,219072,0.27,0.68,0.05
1960,24,三重県,1485054,427532,950531,106991,0.29,0.64,0.07
1960,25,滋賀県,842695,242327,536713,63655,0.29,0.64,0.08
1960,26,京都府,1993403,510521,1356441,126441,0.26,0.68,0.06
